InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536407,P1050,Puzzle 1000pc,6,2024-11-05 00:00:00,14.0,12009,United Kingdom
536407,P1033,Protein Shaker,5,2024-11-05 00:00:00,8.75,12009,United Kingdom
536407,P1020,Plant Pot,4,2024-11-05 00:00:00,13.27,12009,United Kingdom
536407,P1009,Sunglasses,7,2024-11-05 00:00:00,20.3,12009,United Kingdom
536408,P1033,Protein Shaker,1,2024-02-06 00:00:00,7.99,12010,United Kingdom
536409,P1000,Ceramic Mug,2,2024-04-19 00:00:00,6.21,12010,United Kingdom
536409,P1041,Desk Mat,2,2024-04-19 00:00:00,14.08,12010,United Kingdom
536409,P1056,Sticky Notes Pack,2,2024-04-19 00:00:00,3.99,12010,United Kingdom
536410,P1001,Leather Wallet,11,2024-01-17 00:00:00,24.97,12011,USA
536411,P1036,Cheese Board,7,2024-01-19 00:00:00,22.98,12011,USA
536411,P1033,Protein Shaker,8,2024-01-19 00:00:00,8.0,12011,USA
536412,P1047,Earbuds,6,2024-06-14 00:00:00,47.27,12011,USA
536412,P1014,Coffee Grinder,8,2024-06-14 00:00:00,34.96,12011,USA
536413,P1038,Wall Clock,11,2024-08-07 00:00:00,21.74,12011,USA
536413,P1014,Coffee Grinder,3,2024-08-07 00:00:00,31.49,12011,USA
536413,P1022,Cushion Cover,4,2024-08-07 00:00:00,10.02,12011,USA
536413,P1032,Resistance Bands,11,2024-08-07 00:00:00,13.03,12011,USA
536414,P1021,Desk Organizer,5,2024-08-12 00:00:00,15.43,12011,USA
536414,P1060,Storage Bins (Set),6,2024-08-12 00:00:00,19.86,12011,USA
536414,P1051,Art Supplies Set,8,2024-08-12 00:00:00,27.77,12011,USA
536414,P1048,Fitness Tracker,6,2024-08-12 00:00:00,60.68,12011,USA
536414,P1047,Earbuds,7,2024-08-12 00:00:00,48.67,12011,USA
536415,P1027,Skincare Kit,4,2024-11-27 00:00:00,38.8,12011,USA
536415,P1002,Wireless Mouse,11,2024-11-27 00:00:00,14.75,12011,USA
536416,P1022,Cushion Cover,9,2024-12-17 00:00:00,9.47,12011,USA
536416,P1029,Leather Belt,9,2024-12-17 00:00:00,18.73,12011,USA
536416,P1019,Photo Frame,9,2024-12-17 00:00:00,9.84,12011,USA
536416,P1053,Water Color Kit,4,2024-12-17 00:00:00,15.46,12011,USA
536417,P1041,Desk Mat,4,2024-06-25 00:00:00,13.21,12012,United Kingdom
536417,P1000,Ceramic Mug,7,2024-06-25 00:00:00,5.92,12012,United Kingdom
536417,P1033,Protein Shaker,2,2024-06-25 00:00:00,7.77,12012,United Kingdom
536418,P1055,Pen Set,7,2024-06-28 00:00:00,10.91,12012,United Kingdom
536418,P1007,Water Bottle,5,2024-06-28 00:00:00,9.11,12012,United Kingdom
C536418,P1010,Scented Candle,-2,2024-06-28 00:00:00,7.72,12012,United Kingdom
536418,P1059,Nightlight,5,2024-06-28 00:00:00,10.13,12012,United Kingdom
536419,P1057,Desk Fan,4,2024-07-19 00:00:00,20.33,12012,United Kingdom
536420,P1005,Bluetooth Speaker,7,2024-09-10 00:00:00,33.19,12012,United Kingdom
536420,P1043,Webcam,6,2024-09-10 00:00:00,37.96,12012,United Kingdom
536420,P1030,Running Socks,3,2024-09-10 00:00:00,5.74,12012,United Kingdom
536420,P1041,Desk Mat,3,2024-09-10 00:00:00,15.1,12012,United Kingdom
536420,P1015,Kitchen Scale,2,2024-09-10 00:00:00,15.16,12012,United Kingdom
536421,P1025,Hair Dryer,2,2024-09-26 00:00:00,25.98,12012,United Kingdom
536421,P1026,Makeup Brush Set,7,2024-09-26 00:00:00,23.71,12012,United Kingdom
536421,P1046,Power Bank,4,2024-09-26 00:00:00,25.11,12012,United Kingdom
536421,P1052,Kids Backpack,3,2024-09-26 00:00:00,20.37,12012,United Kingdom
536421,P1030,Running Socks,3,2024-09-26 00:00:00,5.69,12012,United Kingdom
536422,P1040,Laptop Sleeve,7,2024-11-04 00:00:00,17.98,12012,United Kingdom
536422,P1003,Desk Lamp,2,2024-11-04 00:00:00,18.21,12012,United Kingdom
536422,P1010,Scented Candle,5,2024-11-04 00:00:00,7.85,12012,United Kingdom
536422,P1009,Sunglasses,2,2024-11-04 00:00:00,20.04,12012,United Kingdom
536422,P1019,Photo Frame,3,2024-11-04 00:00:00,9.28,12012,United Kingdom
536423,P1049,Board Game,7,2024-11-21 00:00:00,20.72,12012,United Kingdom
536423,P1045,Cable Organizer,5,2024-11-21 00:00:00,6.58,12012,United Kingdom
536423,P1043,Webcam,2,2024-11-21 00:00:00,39.51,12012,United Kingdom
536423,P1036,Cheese Board,3,2024-11-21 00:00:00,21.06,12012,United Kingdom
536424,P1042,Keyboard,7,2024-12-06 00:00:00,55.33,12012,United Kingdom
536424,P1034,Cookbook,7,2024-12-06 00:00:00,13.71,12012,United Kingdom
536425,P1022,Cushion Cover,2,2024-05-01 00:00:00,9.08,12013,Spain
536425,P1008,Backpack,1,2024-05-01 00:00:00,46.12,12013,Spain
536425,P1005,Bluetooth Speaker,1,2024-05-01 00:00:00,32.05,12013,Spain
536425,P1036,Cheese Board,2,2024-05-01 00:00:00,20.16,12013,Spain
536425,P1000,Ceramic Mug,1,2024-05-01 00:00:00,6.01,12013,Spain
536426,P1044,Monitor Stand,1,2024-09-16 00:00:00,32.78,12014,Germany
536427,P1015,Kitchen Scale,1,2024-03-22 00:00:00,15.46,12015,Spain
536427,P1000,Ceramic Mug,1,2024-03-22 00:00:00,6.15,12015,Spain
536427,P1024,Reusable Straws,1,2024-03-22 00:00:00,4.53,12015,Spain
536427,P1044,Monitor Stand,1,2024-03-22 00:00:00,31.77,12015,Spain
536428,P1010,Scented Candle,1,2024-03-24 00:00:00,7.89,12015,Spain
536429,P1048,Fitness Tracker,2,2024-06-02 00:00:00,61.45,12016,United Kingdom
536429,P1025,Hair Dryer,1,2024-06-02 00:00:00,27.03,12016,United Kingdom
536430,P1036,Cheese Board,1,2024-06-10 00:00:00,20.77,12016,United Kingdom
536430,P1012,Phone Stand,2,2024-06-10 00:00:00,7.8,12016,United Kingdom
536430,P1024,Reusable Straws,2,2024-06-10 00:00:00,4.45,12016,United Kingdom
536430,P1003,Desk Lamp,2,2024-06-10 00:00:00,18.03,12016,United Kingdom
536430,P1020,Plant Pot,2,2024-06-10 00:00:00,12.28,12016,United Kingdom
536431,P1052,Kids Backpack,3,2024-01-22 00:00:00,20.15,12017,France
536431,P1036,Cheese Board,2,2024-01-22 00:00:00,20.43,12017,France
536431,P1056,Sticky Notes Pack,2,2024-01-22 00:00:00,4.16,12017,France
536431,P1050,Puzzle 1000pc,1,2024-01-22 00:00:00,13.5,12017,France
536432,P1047,Earbuds,3,2024-03-07 00:00:00,50.18,12017,France
536433,P1010,Scented Candle,3,2024-04-01 00:00:00,7.99,12017,France
536433,P1017,Umbrella,2,2024-04-01 00:00:00,10.45,12017,France
536433,P1018,Table Clock,1,2024-04-01 00:00:00,19.64,12017,France
536433,P1003,Desk Lamp,1,2024-04-01 00:00:00,16.8,12017,France
536433,P1028,Perfume,4,2024-04-01 00:00:00,38.53,12017,France
C536434,P1048,Fitness Tracker,-1,2024-04-17 00:00:00,61.03,12017,France
536434,P1020,Plant Pot,3,2024-04-17 00:00:00,13.13,12017,France
536434,P1030,Running Socks,3,2024-04-17 00:00:00,6.2,12017,France
536435,P1007,Water Bottle,4,2024-07-24 00:00:00,8.84,12017,France
536435,P1034,Cookbook,2,2024-07-24 00:00:00,15.25,12017,France
536435,P1033,Protein Shaker,2,2024-07-24 00:00:00,7.87,12017,France
536435,P1053,Water Color Kit,4,2024-07-24 00:00:00,15.94,12017,France
536435,P1058,Humidifier,2,2024-07-24 00:00:00,36.21,12017,France
536436,P1002,Wireless Mouse,3,2024-08-10 00:00:00,15.97,12017,France
536437,P1002,Wireless Mouse,3,2024-08-14 00:00:00,16.25,12018,United Kingdom
536437,P1032,Resistance Bands,3,2024-08-14 00:00:00,11.57,12018,United Kingdom
536437,P1000,Ceramic Mug,3,2024-08-14 00:00:00,6.49,12018,United Kingdom
536437,P1034,Cookbook,1,2024-08-14 00:00:00,14.64,12018,United Kingdom
536438,P1037,String Lights,2,2024-08-30 00:00:00,12.44,12018,United Kingdom
536438,P1029,Leather Belt,4,2024-08-30 00:00:00,17.74,12018,United Kingdom
536438,P1004,Notebook Set,4,2024-08-30 00:00:00,5.73,12018,United Kingdom
536439,P1028,Perfume,3,2024-09-22 00:00:00,42.2,12018,United Kingdom
536440,P1023,Wall Art Print,1,2024-10-19 00:00:00,19.17,12018,United Kingdom
536440,P1027,Skincare Kit,1,2024-10-19 00:00:00,36.39,12018,United Kingdom
536440,P1026,Makeup Brush Set,2,2024-10-19 00:00:00,22.79,12018,United Kingdom
536440,P1009,Sunglasses,4,2024-10-19 00:00:00,20.54,12018,United Kingdom
536441,P1052,Kids Backpack,2,2024-05-28 00:00:00,19.99,12019,United Kingdom
536441,P1017,Umbrella,1,2024-05-28 00:00:00,11.51,12019,United Kingdom
C536441,P1049,Board Game,-1,2024-05-28 00:00:00,19.63,12019,United Kingdom
536442,P1054,Journal,2,2024-06-28 00:00:00,8.18,12020,United Kingdom
536442,P1043,Webcam,3,2024-06-28 00:00:00,38.49,12020,United Kingdom
536442,P1033,Protein Shaker,3,2024-06-28 00:00:00,8.48,12020,United Kingdom
536442,P1040,Laptop Sleeve,2,2024-06-28 00:00:00,17.2,12020,United Kingdom
536443,P1012,Phone Stand,3,2024-08-14 00:00:00,7.12,12020,United Kingdom
536443,P1060,Storage Bins (Set),2,2024-08-14 00:00:00,19.16,12020,United Kingdom
536444,P1044,Monitor Stand,3,2024-09-10 00:00:00,31.89,12020,United Kingdom
536444,P1000,Ceramic Mug,3,2024-09-10 00:00:00,5.99,12020,United Kingdom
536444,P1018,Table Clock,2,2024-09-10 00:00:00,18.14,12020,United Kingdom
536445,P1050,Puzzle 1000pc,2,2024-09-12 00:00:00,14.01,12020,United Kingdom
536445,P1054,Journal,3,2024-09-12 00:00:00,9.01,12020,United Kingdom
536445,P1026,Makeup Brush Set,3,2024-09-12 00:00:00,21.84,12020,United Kingdom
536446,P1041,Desk Mat,1,2024-04-01 00:00:00,13.34,12021,India
536446,P1028,Perfume,2,2024-04-01 00:00:00,42.4,12021,India
536446,P1020,Plant Pot,2,2024-04-01 00:00:00,13.42,12021,India
536446,P1050,Puzzle 1000pc,2,2024-04-01 00:00:00,12.87,12021,India
536447,P1015,Kitchen Scale,1,2024-05-28 00:00:00,15.01,12022,United Kingdom
536447,P1035,Wine Glasses (Set),1,2024-05-28 00:00:00,24.17,12022,United Kingdom
536447,P1009,Sunglasses,1,2024-05-28 00:00:00,21.43,12022,United Kingdom
536448,P1045,Cable Organizer,2,2024-07-19 00:00:00,6.05,12022,United Kingdom
536448,P1013,Travel Pillow,1,2024-07-19 00:00:00,12.38,12022,United Kingdom
536448,P1036,Cheese Board,2,2024-07-19 00:00:00,20.86,12022,United Kingdom
536449,P1032,Resistance Bands,1,2024-04-30 00:00:00,11.82,12023,United Kingdom
536449,P1009,Sunglasses,1,2024-04-30 00:00:00,22.68,12023,United Kingdom
536449,P1054,Journal,2,2024-04-30 00:00:00,9.13,12023,United Kingdom
536449,P1029,Leather Belt,1,2024-04-30 00:00:00,19.7,12023,United Kingdom
536450,P1014,Coffee Grinder,3,2024-06-26 00:00:00,34.64,12023,United Kingdom
536450,P1018,Table Clock,4,2024-06-26 00:00:00,19.98,12023,United Kingdom
536451,P1050,Puzzle 1000pc,1,2024-07-07 00:00:00,13.18,12023,United Kingdom
536451,P1032,Resistance Bands,3,2024-07-07 00:00:00,12.66,12023,United Kingdom
536451,P1059,Nightlight,1,2024-07-07 00:00:00,10.49,12023,United Kingdom
536451,P1027,Skincare Kit,2,2024-07-07 00:00:00,37.6,12023,United Kingdom
536452,P1043,Webcam,3,2024-08-20 00:00:00,40.03,12023,United Kingdom
536453,P1015,Kitchen Scale,1,2024-09-17 00:00:00,14.57,12023,United Kingdom
536453,P1034,Cookbook,3,2024-09-17 00:00:00,15.21,12023,United Kingdom
536454,P1029,Leather Belt,2,2024-12-05 00:00:00,19.28,12023,United Kingdom
536455,P1047,Earbuds,4,2024-12-11 00:00:00,43.38,12023,United Kingdom
536456,P1038,Wall Clock,1,2024-08-28 00:00:00,22.29,12024,India
536457,P1044,Monitor Stand,1,2024-09-08 00:00:00,31.47,12024,India
536458,P1048,Fitness Tracker,3,2024-10-15 00:00:00,60.47,12024,India
536458,P1041,Desk Mat,4,2024-10-15 00:00:00,13.47,12024,India
536458,P1003,Desk Lamp,3,2024-10-15 00:00:00,16.9,12024,India
536458,P1024,Reusable Straws,1,2024-10-15 00:00:00,4.6,12024,India
536458,P1027,Skincare Kit,1,2024-10-15 00:00:00,34.89,12024,India
536459,P1024,Reusable Straws,5,2024-02-08 00:00:00,4.21,12025,United Kingdom
536459,P1053,Water Color Kit,4,2024-02-08 00:00:00,15.48,12025,United Kingdom
536459,P1038,Wall Clock,2,2024-02-08 00:00:00,24.37,12025,United Kingdom
536459,P1003,Desk Lamp,3,2024-02-08 00:00:00,17.76,12025,United Kingdom
536459,P1055,Pen Set,4,2024-02-08 00:00:00,11.72,12025,United Kingdom
536460,P1042,Keyboard,5,2024-03-31 00:00:00,53.9,12025,United Kingdom
536461,P1002,Wireless Mouse,5,2024-08-18 00:00:00,14.85,12025,United Kingdom
C536461,P1058,Humidifier,-4,2024-08-18 00:00:00,32.2,12025,United Kingdom
536461,P1029,Leather Belt,7,2024-08-18 00:00:00,17.63,12025,United Kingdom
536461,P1032,Resistance Bands,3,2024-08-18 00:00:00,12.17,12025,United Kingdom
536461,P1019,Photo Frame,3,2024-08-18 00:00:00,9.07,12025,United Kingdom
536462,P1005,Bluetooth Speaker,3,2024-09-25 00:00:00,32.04,12025,United Kingdom
536462,P1053,Water Color Kit,3,2024-09-25 00:00:00,16.33,12025,United Kingdom
536463,P1009,Sunglasses,5,2024-10-14 00:00:00,20.05,12025,United Kingdom
536463,P1005,Bluetooth Speaker,4,2024-10-14 00:00:00,33.31,12025,United Kingdom
536463,P1043,Webcam,6,2024-10-14 00:00:00,36.04,12025,United Kingdom
536463,P1013,Travel Pillow,3,2024-10-14 00:00:00,11.39,12025,United Kingdom
536464,P1046,Power Bank,6,2024-10-22 00:00:00,23.47,12025,United Kingdom
536464,P1001,Leather Wallet,5,2024-10-22 00:00:00,22.02,12025,United Kingdom
536464,P1041,Desk Mat,3,2024-10-22 00:00:00,13.71,12025,United Kingdom
536464,P1021,Desk Organizer,7,2024-10-22 00:00:00,16.15,12025,United Kingdom
536464,P1022,Cushion Cover,6,2024-10-22 00:00:00,9.52,12025,United Kingdom
536465,P1047,Earbuds,2,2024-11-27 00:00:00,48.6,12025,United Kingdom
536466,P1016,Cutting Board,2,2024-10-25 00:00:00,14.67,12026,United Kingdom
536466,P1022,Cushion Cover,2,2024-10-25 00:00:00,9.61,12026,United Kingdom
536466,P1002,Wireless Mouse,1,2024-10-25 00:00:00,15.61,12026,United Kingdom
536466,P1023,Wall Art Print,2,2024-10-25 00:00:00,20.1,12026,United Kingdom
536467,P1017,Umbrella,1,2024-03-04 00:00:00,10.58,12027,Germany
536467,P1033,Protein Shaker,4,2024-03-04 00:00:00,7.87,12027,Germany
536468,P1014,Coffee Grinder,1,2024-03-24 00:00:00,32.84,12027,Germany
536468,P1027,Skincare Kit,1,2024-03-24 00:00:00,38.96,12027,Germany
536468,P1036,Cheese Board,1,2024-03-24 00:00:00,22.32,12027,Germany
536469,P1044,Monitor Stand,2,2024-04-06 00:00:00,33.15,12027,Germany
536470,P1031,Gym Bag,4,2024-09-25 00:00:00,30.22,12027,Germany
536470,P1006,Yoga Mat,1,2024-09-25 00:00:00,19.35,12027,Germany
536470,P1033,Protein Shaker,3,2024-09-25 00:00:00,8.28,12027,Germany
536471,P1044,Monitor Stand,4,2024-05-11 00:00:00,31.4,12028,USA
536472,P1051,Art Supplies Set,2,2024-05-29 00:00:00,24.98,12028,USA
536472,P1045,Cable Organizer,3,2024-05-29 00:00:00,6.1,12028,USA
536472,P1058,Humidifier,3,2024-05-29 00:00:00,32.86,12028,USA
536472,P1024,Reusable Straws,1,2024-05-29 00:00:00,4.65,12028,USA
536472,P1006,Yoga Mat,1,2024-05-29 00:00:00,20.84,12028,USA
536473,P1038,Wall Clock,3,2024-09-17 00:00:00,24.69,12028,USA
536473,P1025,Hair Dryer,2,2024-09-17 00:00:00,25.85,12028,USA
536474,P1020,Plant Pot,4,2024-09-23 00:00:00,13.2,12028,USA
536474,P1021,Desk Organizer,1,2024-09-23 00:00:00,15.65,12028,USA
